,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
Cambodia,Soft Drinks,Off-trade Volume,million litres,-,253.2,279.2,302.7,315.9,298.3,309.9,328.6
Cambodia,Soft Drinks,Off-trade Value RSP,KHR million,Current Prices,"1,072,746.6","1,236,927.8","1,392,980.5","1,551,500.0","1,478,031.8","1,597,900.8","1,722,597.4"
Cambodia,Bottled Water,Off-trade Volume,million litres,-,37.7,39.7,41.8,40.8,40.0,40.7,43.1
Cambodia,Bottled Water,Off-trade Value RSP,KHR million,Current Prices,"68,234.3","72,521.8","77,174.4","76,150.5","75,600.1","80,109.9","86,395.8"
Cambodia,Carbonates,Off-trade Volume,million litres,-,118.7,126.4,133.7,131.2,123.8,128.2,136.0
Cambodia,Carbonates,Off-trade Value RSP,KHR million,Current Prices,"317,123.6","340,584.0","364,832.3","364,257.5","346,941.5","372,471.8","401,168.4"
Cambodia,Regular Carbonates - modelled,Off-trade Volume,million litres,-,118.7,126.4,133.7,131.2,123.8,128.2,136.0
Cambodia,Regular Carbonates - modelled,Off-trade Value RSP,KHR million,Current Prices,"317,123.6","340,584.0","364,832.3","364,257.5","346,941.5","372,471.8","401,168.4"
Cambodia,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Cambodia,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,KHR million,Current Prices,-,-,-,-,-,-,-
Cambodia,Concentrates,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Cambodia,Concentrates,Off-trade Value RSP,KHR million,Current Prices,-,-,-,-,-,-,-
Cambodia,Juice,Off-trade Volume,million litres,-,2.7,2.8,2.9,2.8,2.8,2.8,2.9
Cambodia,Juice,Off-trade Value RSP,KHR million,Current Prices,"19,590.3","20,595.2","21,642.7","21,373.3","21,774.7","22,792.8","23,941.5"
Cambodia,RTD Coffee,Off-trade Volume,million litres,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cambodia,RTD Coffee,Off-trade Value RSP,KHR million,Current Prices,245.4,256.4,267.7,240.9,206.4,242.6,273.6
Cambodia,RTD Tea,Off-trade Volume,million litres,-,33.5,37.1,40.8,42.9,43.3,47.2,51.9
Cambodia,RTD Tea,Off-trade Value RSP,KHR million,Current Prices,"210,574.1","237,948.7","267,692.3","286,534.7","294,932.6","335,968.8","377,029.9"
Cambodia,Energy Drinks,Off-trade Volume,million litres,-,50.3,61.1,69.7,83.6,75.2,76.0,78.3
Cambodia,Energy Drinks,Off-trade Value RSP,KHR million,Current Prices,"421,210.2","522,300.7","611,091.8","748,289.3","688,426.2","727,238.0","767,493.9"
Cambodia,Sports Drinks,Off-trade Volume,million litres,-,10.2,12.0,13.8,14.7,13.2,14.9,16.4
Cambodia,Sports Drinks,Off-trade Value RSP,KHR million,Current Prices,"35,768.8","42,721.0","50,279.4","54,653.7","50,150.2","59,076.9","66,294.5"
Cambodia,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Cambodia,Asian Speciality Drinks,Off-trade Value RSP,KHR million,Current Prices,-,-,-,-,-,-,-
China,HW Soft Drinks,Retail Volume,million litres,-,"25,316.0","27,191.8","29,092.9","29,019.2","31,056.1","33,005.0","34,971.1"
China,HW Soft Drinks,Retail Value RSP,CNY million,Current Prices,"188,812.5","206,874.7","225,209.4","226,618.0","245,698.5","265,650.1","286,534.0"
China,Soft Drinks,Off-trade Volume,million litres,-,"73,030.9","76,142.4","79,276.4","78,097.0","82,380.2","86,692.4","90,838.8"
China,Soft Drinks,Off-trade Value RSP,CNY million,Current Prices,"422,121.7","446,445.1","471,146.3","459,864.5","490,464.0","518,007.2","553,558.2"
China,Bottled Water,Off-trade Volume,million litres,-,"38,809.6","41,768.3","44,355.3","45,184.1","47,569.6","50,016.2","52,461.9"
China,Bottled Water,Off-trade Value RSP,CNY million,Current Prices,"146,108.7","160,972.5","173,910.4","177,663.3","188,762.3","197,903.4","210,462.8"
China,Carbonates,Off-trade Volume,million litres,-,"7,568.1","7,895.8","8,385.8","9,103.5","10,537.7","12,363.9","13,729.8"
China,Carbonates,Off-trade Value RSP,CNY million,Current Prices,"44,270.5","47,649.0","51,373.5","56,736.4","65,685.9","75,047.7","87,311.3"
China,Regular Carbonates,Off-trade Volume,million litres,-,"7,478.2","7,565.9","7,904.8","8,253.0","9,280.6","10,578.5","11,689.6"
China,Regular Carbonates,Off-trade Value RSP,CNY million,Current Prices,"43,664.7","45,161.6","47,524.1","50,238.0","54,886.8","60,987.7","66,446.1"
China,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,89.9,329.9,481.0,850.5,"1,257.0","1,785.5","2,040.1"
China,Reduced Sugar Carbonates,Off-trade Value RSP,CNY million,Current Prices,605.8,"2,487.5","3,849.4","6,498.4","10,799.1","14,060.1","20,865.2"
China,Concentrates,Off-trade Volume,million litres,-,6.2,5.9,5.7,5.8,6.3,6.7,7.1
China,Concentrates,Off-trade Value RSP,CNY million,Current Prices,"1,732.3","1,626.7","1,482.4","1,301.5","1,214.3","1,072.9","1,010.6"
China,Juice,Off-trade Volume,million litres,-,"9,587.2","9,200.6","9,098.7","8,017.9","7,825.5","7,673.9","7,559.5"
China,Juice,Off-trade Value RSP,CNY million,Current Prices,"76,048.9","75,099.6","75,538.0","67,425.4","66,888.8","65,590.4","65,902.7"
China,RTD Coffee,Off-trade Volume,million litres,-,328.8,355.4,370.1,383.6,406.1,427.2,448.3
China,RTD Coffee,Off-trade Value RSP,CNY million,Current Prices,"7,044.3","8,185.4","9,061.3","9,888.8","10,837.0","11,584.9","12,462.9"
China,RTD Tea,Off-trade Volume,million litres,-,"13,356.0","13,237.3","13,013.9","11,388.7","11,608.7","11,378.3","11,443.6"
China,RTD Tea,Off-trade Value RSP,CNY million,Current Prices,"98,940.3","99,336.1","99,416.7","85,261.2","89,255.2","93,186.0","95,805.5"
China,Energy Drinks,Off-trade Volume,million litres,-,"1,756.8","1,965.6","2,246.7","2,324.1","2,636.1","2,949.2","3,253.2"
China,Energy Drinks,Off-trade Value RSP,CNY million,Current Prices,"33,651.3","38,328.8","44,192.5","46,539.6","52,444.5","57,712.6","64,258.0"
China,Sports Drinks,Off-trade Volume,million litres,-,"1,320.4","1,392.6","1,457.4","1,415.9","1,526.7","1,624.4","1,699.3"
China,Sports Drinks,Off-trade Value RSP,CNY million,Current Prices,"9,998.3","10,608.2","11,212.9","11,068.0","11,676.7","12,336.5","12,918.2"
China,Asian Speciality Drinks,Off-trade Volume,million litres,-,297.9,321.0,342.8,273.5,263.5,252.4,236.0
China,Asian Speciality Drinks,Off-trade Value RSP,CNY million,Current Prices,"4,327.1","4,638.7","4,958.7","3,980.4","3,699.2","3,572.7","3,426.3"
"Hong Kong, China",HW Soft Drinks,Retail Volume,million litres,-,287.7,301.6,310.2,298.7,307.5,315.9,323.8
"Hong Kong, China",HW Soft Drinks,Retail Value RSP,HKD million,Current Prices,"5,624.9","5,927.3","6,125.7","5,869.4","6,131.3","6,450.8","6,788.9"
"Hong Kong, China",Soft Drinks,Off-trade Volume,million litres,-,850.6,859.5,865.4,795.6,824.4,828.2,859.7
"Hong Kong, China",Soft Drinks,Off-trade Value RSP,HKD million,Current Prices,"13,699.7","14,008.7","14,156.5","13,131.5","13,798.2","14,060.5","14,986.6"
"Hong Kong, China",Bottled Water,Off-trade Volume,million litres,-,328.0,338.7,350.4,309.1,323.4,322.4,338.5
"Hong Kong, China",Bottled Water,Off-trade Value RSP,HKD million,Current Prices,"4,222.5","4,406.1","4,596.6","4,108.4","4,319.5","4,431.5","4,769.2"
"Hong Kong, China",Carbonates,Off-trade Volume,million litres,-,123.3,118.4,114.1,105.6,110.3,110.2,109.2
"Hong Kong, China",Carbonates,Off-trade Value RSP,HKD million,Current Prices,"1,730.2","1,673.9","1,625.9","1,497.9","1,577.5","1,611.6","1,657.0"
"Hong Kong, China",Regular Carbonates,Off-trade Volume,million litres,-,90.5,85.7,81.1,74.1,76.1,75.7,74.4
"Hong Kong, China",Regular Carbonates,Off-trade Value RSP,HKD million,Current Prices,"1,261.2","1,200.7","1,146.1","1,041.0","1,087.0","1,100.3","1,118.3"
"Hong Kong, China",Reduced Sugar Carbonates,Off-trade Volume,million litres,-,32.7,32.7,33.1,31.6,34.3,34.6,34.8
"Hong Kong, China",Reduced Sugar Carbonates,Off-trade Value RSP,HKD million,Current Prices,469.0,473.2,479.8,456.9,490.5,511.3,538.6
"Hong Kong, China",Concentrates,Off-trade Volume,million litres,-,1.3,1.4,1.4,1.4,1.4,1.4,1.4
"Hong Kong, China",Concentrates,Off-trade Value RSP,HKD million,Current Prices,61.9,63.1,64.5,66.3,66.3,66.5,67.5
"Hong Kong, China",Juice,Off-trade Volume,million litres,-,121.3,117.7,113.2,106.4,110.3,108.6,111.1
"Hong Kong, China",Juice,Off-trade Value RSP,HKD million,Current Prices,"2,543.3","2,524.6","2,465.8","2,309.9","2,418.2","2,426.7","2,552.2"
"Hong Kong, China",RTD Coffee,Off-trade Volume,million litres,-,18.2,18.6,18.3,17.4,18.4,18.7,19.3
"Hong Kong, China",RTD Coffee,Off-trade Value RSP,HKD million,Current Prices,506.1,527.9,519.8,492.3,529.4,547.4,582.9
"Hong Kong, China",RTD Tea,Off-trade Volume,million litres,-,213.2,217.7,219.1,209.4,211.9,217.3,228.5
"Hong Kong, China",RTD Tea,Off-trade Value RSP,HKD million,Current Prices,"3,599.0","3,727.9","3,745.9","3,587.6","3,754.6","3,811.0","4,104.0"
"Hong Kong, China",Energy Drinks,Off-trade Volume,million litres,-,6.2,6.5,6.8,6.2,6.6,6.7,6.9
"Hong Kong, China",Energy Drinks,Off-trade Value RSP,HKD million,Current Prices,319.2,334.8,352.6,317.8,339.4,348.0,368.4
"Hong Kong, China",Sports Drinks,Off-trade Volume,million litres,-,21.8,23.0,24.1,21.7,23.2,23.9,25.5
"Hong Kong, China",Sports Drinks,Off-trade Value RSP,HKD million,Current Prices,431.1,455.8,479.8,427.8,459.2,477.8,525.0
