,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Market Sizes | Historical/Forecast,,,,,,,,,,,
Geography,Category,Data Type,Unit,Current Constant,2017,2018,2019,2020,2021,2022,2023
Sri Lanka,Concentrates,Off-trade Volume,million litres,-,0.7,0.7,0.7,0.8,0.8,0.7,0.7
Sri Lanka,Concentrates,Off-trade Value RSP,LKR million,Current Prices,513.7,536.7,562.5,669.8,751.3,753.8,879.0
Sri Lanka,Juice,Off-trade Volume,million litres,-,34.1,35.6,29.1,33.1,36.3,36.5,37.8
Sri Lanka,Juice,Off-trade Value RSP,LKR million,Current Prices,"7,550.1","8,579.3","9,113.9","10,919.4","12,571.3","14,939.6","17,918.5"
Sri Lanka,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Sri Lanka,RTD Coffee,Off-trade Value RSP,LKR million,Current Prices,-,-,-,-,-,-,-
Sri Lanka,RTD Tea,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Sri Lanka,RTD Tea,Off-trade Value RSP,LKR million,Current Prices,-,-,-,-,-,-,-
Sri Lanka,Energy Drinks,Off-trade Volume,million litres,-,0.4,0.3,0.3,0.3,0.3,0.2,0.3
Sri Lanka,Energy Drinks,Off-trade Value RSP,LKR million,Current Prices,489.4,467.8,501.8,459.5,440.3,473.1,667.5
Sri Lanka,Sports Drinks,Off-trade Volume,million litres,-,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Sri Lanka,Sports Drinks,Off-trade Value RSP,LKR million,Current Prices,25.4,25.6,26.2,25.2,22.3,28.1,37.9
Sri Lanka,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Sri Lanka,Asian Speciality Drinks,Off-trade Value RSP,LKR million,Current Prices,-,-,-,-,-,-,-
Taiwan,HW Soft Drinks,Retail Volume,million litres,-,"1,326.0","1,343.5","1,364.0","1,389.2","1,374.1","1,421.3","1,446.6"
Taiwan,HW Soft Drinks,Retail Value RSP,TWD million,Current Prices,"51,657.7","52,673.4","53,691.5","54,962.7","54,344.3","57,479.5","59,838.1"
Taiwan,Soft Drinks,Off-trade Volume,million litres,-,"2,260.9","2,227.7","2,225.1","2,266.9","2,260.8","2,292.9","2,326.5"
Taiwan,Soft Drinks,Off-trade Value RSP,TWD million,Current Prices,"89,010.1","87,733.9","88,327.1","91,070.1","90,913.6","95,108.6","98,579.6"
Taiwan,Bottled Water,Off-trade Volume,million litres,-,591.1,603.0,613.7,625.4,635.0,644.9,659.7
Taiwan,Bottled Water,Off-trade Value RSP,TWD million,Current Prices,"12,858.7","13,202.9","13,604.2","14,005.1","14,420.1","15,116.1","15,812.7"
Taiwan,Carbonates,Off-trade Volume,million litres,-,190.1,179.5,172.1,168.9,162.5,162.8,161.6
Taiwan,Carbonates,Off-trade Value RSP,TWD million,Current Prices,"7,065.8","6,747.1","6,485.1","6,366.1","6,119.7","6,521.2","6,606.7"
Taiwan,Regular Carbonates,Off-trade Volume,million litres,-,179.0,168.5,161.0,158.0,152.1,152.4,151.2
Taiwan,Regular Carbonates,Off-trade Value RSP,TWD million,Current Prices,"6,573.6","6,295.7","6,034.9","5,920.2","5,694.7","6,073.0","6,147.7"
Taiwan,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,11.0,11.0,11.0,11.0,10.5,10.5,10.5
Taiwan,Reduced Sugar Carbonates,Off-trade Value RSP,TWD million,Current Prices,492.2,451.3,450.1,445.9,424.9,448.3,458.9
Taiwan,Concentrates,Off-trade Volume,million litres,-,0.9,0.9,0.9,0.9,1.0,0.9,1.0
Taiwan,Concentrates,Off-trade Value RSP,TWD million,Current Prices,410.6,408.7,413.8,424.0,465.4,474.1,485.4
Taiwan,Juice,Off-trade Volume,million litres,-,208.4,205.8,214.0,220.2,212.7,214.7,218.6
Taiwan,Juice,Off-trade Value RSP,TWD million,Current Prices,"10,352.2","10,424.6","10,979.8","11,457.3","11,286.1","11,810.0","12,358.2"
Taiwan,RTD Coffee,Off-trade Volume,million litres,-,77.8,75.7,73.6,70.6,69.7,67.7,66.2
Taiwan,RTD Coffee,Off-trade Value RSP,TWD million,Current Prices,"8,058.2","7,915.3","7,767.5","7,532.7","7,396.5","7,412.5","7,379.5"
Taiwan,RTD Tea,Off-trade Volume,million litres,-,"1,083.4","1,054.8","1,043.9","1,075.5","1,069.8","1,091.5","1,110.2"
Taiwan,RTD Tea,Off-trade Value RSP,TWD million,Current Prices,"44,659.7","43,522.8","43,644.1","45,955.0","45,739.9","48,089.2","50,155.0"
Taiwan,Energy Drinks,Off-trade Volume,million litres,-,12.0,12.1,12.4,12.5,12.2,12.4,12.6
Taiwan,Energy Drinks,Off-trade Value RSP,TWD million,Current Prices,"1,649.7","1,683.2","1,719.3","1,738.9","1,709.5","1,793.5","1,858.7"
Taiwan,Sports Drinks,Off-trade Volume,million litres,-,90.6,89.0,87.6,86.0,90.8,90.9,89.6
Taiwan,Sports Drinks,Off-trade Value RSP,TWD million,Current Prices,"3,654.5","3,520.3","3,396.0","3,262.5","3,446.8","3,554.1","3,570.9"
Taiwan,Asian Speciality Drinks,Off-trade Volume,million litres,-,6.8,6.8,6.9,7.0,7.0,7.0,7.1
Taiwan,Asian Speciality Drinks,Off-trade Value RSP,TWD million,Current Prices,300.8,309.1,317.4,328.6,329.7,337.8,352.5
Thailand,HW Soft Drinks,Retail Volume,million litres,-,"1,324.4","1,367.5","1,440.7","1,329.3","1,406.1","1,501.7","1,576.6"
Thailand,HW Soft Drinks,Retail Value RSP,THB million,Current Prices,"56,065.5","57,431.1","61,004.9","58,843.3","62,007.4","66,270.9","70,196.4"
Thailand,Soft Drinks,Off-trade Volume,million litres,-,"7,150.6","7,280.1","7,616.7","6,946.0","6,670.1","6,976.6","7,538.8"
Thailand,Soft Drinks,Off-trade Value RSP,THB million,Current Prices,"183,464.8","186,285.7","197,970.6","189,569.5","184,598.9","205,366.7","229,933.4"
Thailand,Bottled Water,Off-trade Volume,million litres,-,"3,843.7","4,078.5","4,272.0","3,707.6","3,506.8","3,699.5","4,050.2"
Thailand,Bottled Water,Off-trade Value RSP,THB million,Current Prices,"50,113.9","51,586.5","55,391.9","49,656.7","47,244.7","53,102.5","60,674.7"
Thailand,Carbonates,Off-trade Volume,million litres,-,"1,871.5","1,830.3","1,957.4","1,928.0","1,891.1","1,959.2","2,101.1"
Thailand,Carbonates,Off-trade Value RSP,THB million,Current Prices,"57,491.2","58,868.2","64,614.5","64,473.2","64,128.2","71,089.1","79,933.9"
Thailand,Regular Carbonates,Off-trade Volume,million litres,-,"1,843.8","1,785.4","1,887.5","1,837.3","1,760.0","1,780.9","1,854.2"
Thailand,Regular Carbonates,Off-trade Value RSP,THB million,Current Prices,"56,437.7","57,114.9","61,811.0","60,776.8","58,731.5","63,086.8","68,302.9"
Thailand,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,27.7,44.8,69.9,90.7,131.1,178.3,246.9
Thailand,Reduced Sugar Carbonates,Off-trade Value RSP,THB million,Current Prices,"1,053.4","1,753.2","2,803.5","3,696.4","5,396.7","8,002.3","11,630.9"
Thailand,Concentrates,Off-trade Volume,million litres,-,10.2,10.2,9.9,9.4,9.6,9.7,9.8
Thailand,Concentrates,Off-trade Value RSP,THB million,Current Prices,"1,963.8","2,135.9","2,278.1","2,299.1","2,284.4","2,436.4","2,623.2"
Thailand,Juice,Off-trade Volume,million litres,-,321.8,317.3,309.7,299.6,292.7,312.0,333.8
Thailand,Juice,Off-trade Value RSP,THB million,Current Prices,"17,467.7","17,889.4","17,793.4","18,025.1","17,976.7","20,172.8","22,538.6"
Thailand,RTD Coffee,Off-trade Volume,million litres,-,179.5,178.9,185.4,183.0,171.5,173.7,179.3
Thailand,RTD Coffee,Off-trade Value RSP,THB million,Current Prices,"12,526.4","12,911.8","13,487.4","13,206.7","12,323.1","13,442.3","14,592.3"
Thailand,RTD Tea,Off-trade Volume,million litres,-,419.6,371.6,376.1,336.5,344.4,359.9,378.1
Thailand,RTD Tea,Off-trade Value RSP,THB million,Current Prices,"14,504.2","13,250.4","13,616.5","12,377.0","12,800.8","13,835.5","15,140.7"
Thailand,Energy Drinks,Off-trade Volume,million litres,-,313.1,305.9,319.2,302.7,279.0,286.8,303.1
Thailand,Energy Drinks,Off-trade Value RSP,THB million,Current Prices,"21,647.7","21,877.2","22,888.4","21,903.9","20,349.4","22,695.8","25,022.7"
Thailand,Sports Drinks,Off-trade Volume,million litres,-,191.2,187.4,186.9,179.1,174.9,175.8,183.4
Thailand,Sports Drinks,Off-trade Value RSP,THB million,Current Prices,"7,749.9","7,766.5","7,900.5","7,627.8","7,491.7","8,592.3","9,407.4"
Thailand,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Thailand,Asian Speciality Drinks,Off-trade Value RSP,THB million,Current Prices,-,-,-,-,-,-,-
Uzbekistan,HW Soft Drinks - modelled,Retail Volume,million litres,-,46.8,63.4,76.3,77.3,91.1,108.6,126.9
Uzbekistan,HW Soft Drinks - modelled,Retail Value RSP,UZS million,Current Prices,"367,986.2","564,090.3","787,414.2","1,012,143.2","1,354,441.0","1,783,847.7","2,293,120.1"
Uzbekistan,Soft Drinks,Off-trade Volume,million litres,-,"1,313.0","1,560.7","1,809.6","1,824.1","2,154.7","2,470.3","2,772.0"
Uzbekistan,Soft Drinks,Off-trade Value RSP,UZS billion,Current Prices,"3,843.8","5,268.7","7,209.7","8,379.5","11,071.6","14,364.8","17,896.0"
Uzbekistan,Bottled Water,Off-trade Volume,million litres,-,571.3,695.6,786.2,709.6,813.9,915.5,"1,010.5"
Uzbekistan,Bottled Water,Off-trade Value RSP,UZS billion,Current Prices,756.4,"1,085.1","1,645.4","1,537.8","1,949.3","2,478.6","3,053.3"
Uzbekistan,Carbonates,Off-trade Volume,million litres,-,528.5,608.6,717.7,824.6,"1,016.8","1,181.0","1,335.9"
Uzbekistan,Carbonates,Off-trade Value RSP,UZS billion,Current Prices,"1,897.1","2,477.2","3,272.2","4,186.3","5,824.5","7,613.3","9,484.8"
Uzbekistan,Regular Carbonates - modelled,Off-trade Volume,million litres,-,525.1,603.1,709.8,815.6,"1,006.1","1,168.4","1,321.7"
Uzbekistan,Regular Carbonates - modelled,Off-trade Value RSP,UZS billion,Current Prices,"1,884.4","2,452.5","3,231.1","4,133.8","5,753.1","7,517.6","9,365.4"
Uzbekistan,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,3.5,5.4,7.9,9.0,10.7,12.5,14.2
Uzbekistan,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,UZS billion,Current Prices,12.7,24.7,41.1,52.6,71.4,95.7,119.4
Uzbekistan,Concentrates,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uzbekistan,Concentrates,Off-trade Value RSP,UZS billion,Current Prices,-,-,-,-,-,-,-
Uzbekistan,Juice,Off-trade Volume,million litres,-,108.4,127.7,151.0,121.2,120.8,133.3,144.6
Uzbekistan,Juice,Off-trade Value RSP,UZS billion,Current Prices,479.4,650.6,833.0,738.6,815.3,997.6,"1,170.5"
Uzbekistan,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uzbekistan,RTD Coffee,Off-trade Value RSP,UZS billion,Current Prices,-,-,-,-,-,-,-
Uzbekistan,RTD Tea,Off-trade Volume,million litres,-,83.0,97.1,112.3,113.6,131.4,150.2,167.3
Uzbekistan,RTD Tea,Off-trade Value RSP,UZS billion,Current Prices,232.9,277.5,371.5,429.9,549.2,715.0,881.2
Uzbekistan,Energy Drinks,Off-trade Volume,million litres,-,21.8,31.7,42.4,55.0,71.8,90.4,113.7
Uzbekistan,Energy Drinks,Off-trade Value RSP,UZS billion,Current Prices,478.0,778.3,"1,087.6","1,486.9","1,933.3","2,560.4","3,306.2"
Uzbekistan,Sports Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uzbekistan,Sports Drinks,Off-trade Value RSP,UZS billion,Current Prices,-,-,-,-,-,-,-
Uzbekistan,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Uzbekistan,Asian Speciality Drinks,Off-trade Value RSP,UZS billion,Current Prices,-,-,-,-,-,-,-
Vietnam,HW Soft Drinks,Retail Volume,million litres,-,804.9,867.1,929.2,986.5,"1,052.3","1,106.5","1,164.5"
Vietnam,HW Soft Drinks,Retail Value RSP,VND billion,Current Prices,"17,868.8","19,416.4","20,983.8","22,516.0","24,155.4","25,710.3","27,562.6"
Vietnam,Soft Drinks,Off-trade Volume,million litres,-,"3,424.8","3,699.9","3,951.8","4,184.2","4,285.5","4,503.5","4,752.4"
Vietnam,Soft Drinks,Off-trade Value RSP,VND billion,Current Prices,"61,302.6","66,717.7","71,644.2","77,131.4","80,374.3","88,508.4","96,818.3"
Vietnam,Bottled Water,Off-trade Volume,million litres,-,516.3,587.2,665.2,737.8,781.4,828.8,892.8
Vietnam,Bottled Water,Off-trade Value RSP,VND billion,Current Prices,"3,625.7","4,226.1","4,851.9","5,474.4","5,913.8","6,497.3","7,266.7"
Vietnam,Carbonates,Off-trade Volume,million litres,-,646.9,690.9,737.6,779.9,796.8,838.7,877.7
Vietnam,Carbonates,Off-trade Value RSP,VND billion,Current Prices,"12,182.1","13,191.3","14,280.3","15,457.2","16,386.0","17,826.9","19,584.2"
Vietnam,Regular Carbonates,Off-trade Volume,million litres,-,637.5,680.7,726.3,767.7,784.5,824.5,861.8
Vietnam,Regular Carbonates,Off-trade Value RSP,VND billion,Current Prices,"11,955.4","12,926.4","13,972.4","15,106.9","15,974.9","17,330.7","19,007.6"
Vietnam,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,9.4,10.2,11.2,12.2,12.3,14.2,15.8
Vietnam,Reduced Sugar Carbonates,Off-trade Value RSP,VND billion,Current Prices,226.7,264.9,307.9,350.3,411.1,496.2,576.6
Vietnam,Concentrates,Off-trade Volume,million litres,-,0.3,0.3,0.3,0.3,0.4,0.4,0.4
Vietnam,Concentrates,Off-trade Value RSP,VND billion,Current Prices,347.5,376.6,408.5,436.9,463.6,508.8,557.0
Vietnam,Juice,Off-trade Volume,million litres,-,372.3,419.2,450.8,480.5,512.9,549.2,572.0
Vietnam,Juice,Off-trade Value RSP,VND billion,Current Prices,"8,598.2","9,820.0","10,709.7","11,591.5","12,550.1","14,129.5","15,067.2"
Vietnam,RTD Coffee,Off-trade Volume,million litres,-,2.2,2.3,2.4,2.5,2.7,3.1,3.3
Vietnam,RTD Coffee,Off-trade Value RSP,VND billion,Current Prices,112.8,118.5,128.8,138.8,154.1,180.2,198.7
Vietnam,RTD Tea,Off-trade Volume,million litres,-,"1,320.2","1,396.8","1,459.6","1,517.1","1,503.0","1,553.0","1,625.1"
Vietnam,RTD Tea,Off-trade Value RSP,VND billion,Current Prices,"21,098.7","22,432.3","23,558.9","25,164.5","24,999.1","27,058.0","29,455.3"
Vietnam,Energy Drinks,Off-trade Volume,million litres,-,417.2,438.0,457.7,475.6,486.0,514.1,552.0
Vietnam,Energy Drinks,Off-trade Value RSP,VND billion,Current Prices,"12,700.0","13,600.0","14,484.0","15,364.9","16,106.3","18,077.1","20,058.1"
Vietnam,Sports Drinks,Off-trade Volume,million litres,-,131.3,145.7,157.4,168.4,179.3,191.9,203.5
Vietnam,Sports Drinks,Off-trade Value RSP,VND billion,Current Prices,"1,995.3","2,248.0","2,454.5","2,675.4","2,907.1","3,246.3","3,541.1"
Vietnam,Asian Speciality Drinks,Off-trade Volume,million litres,-,18.3,19.5,20.8,22.1,23.1,24.3,25.8
Vietnam,Asian Speciality Drinks,Off-trade Value RSP,VND billion,Current Prices,642.4,705.1,767.8,827.7,894.2,984.4,"1,090.2"
Australia,HW Soft Drinks,Retail Volume,million litres,-,"1,968.5","1,977.6","1,953.0","1,984.3","2,024.3","2,060.0","2,095.8"
Australia,HW Soft Drinks,Retail Value RSP,AUD million,Current Prices,"5,368.3","5,575.4","5,757.4","5,780.9","6,006.5","6,293.9","6,629.5"
Australia,Soft Drinks,Off-trade Volume,million litres,-,"3,639.1","3,655.5","3,644.7","3,707.8","3,767.7","3,818.0","3,856.1"
Australia,Soft Drinks,Off-trade Value RSP,AUD million,Current Prices,"9,614.0","9,960.5","10,294.7","10,387.6","10,717.4","11,537.1","12,240.0"
Australia,Bottled Water,Off-trade Volume,million litres,-,828.2,827.4,797.6,765.2,754.6,775.0,783.6
Australia,Bottled Water,Off-trade Value RSP,AUD million,Current Prices,"1,429.2","1,419.7","1,388.1","1,268.8","1,229.6","1,336.6","1,409.7"
Australia,Carbonates,Off-trade Volume,million litres,-,"1,541.3","1,528.7","1,522.1","1,563.0","1,577.7","1,582.2","1,583.9"
Australia,Carbonates,Off-trade Value RSP,AUD million,Current Prices,"3,676.5","3,700.4","3,733.6","3,720.0","3,745.4","3,924.0","4,062.8"
Australia,Regular Carbonates,Off-trade Volume,million litres,-,935.5,924.4,921.4,932.8,933.5,927.0,922.0
Australia,Regular Carbonates,Off-trade Value RSP,AUD million,Current Prices,"2,289.4","2,288.2","2,304.6","2,260.9","2,259.9","2,353.0","2,431.1"
Australia,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,605.8,604.3,600.7,630.2,644.2,655.2,661.8
Australia,Reduced Sugar Carbonates,Off-trade Value RSP,AUD million,Current Prices,"1,387.2","1,412.2","1,428.9","1,459.1","1,485.5","1,571.0","1,631.8"
Australia,Concentrates,Off-trade Volume,million litres,-,96.7,94.6,93.4,93.5,91.1,88.0,85.4
Australia,Concentrates,Off-trade Value RSP,AUD million,Current Prices,355.7,362.4,376.5,391.8,436.4,479.9,507.5
Australia,Juice,Off-trade Volume,million litres,-,665.6,656.8,644.2,661.4,666.1,672.0,673.9
Australia,Juice,Off-trade Value RSP,AUD million,Current Prices,"1,629.6","1,662.7","1,679.6","1,701.2","1,736.9","1,756.2","1,842.6"
Australia,RTD Coffee,Off-trade Volume,million litres,-,163.2,169.9,176.7,187.6,209.7,215.0,221.5
Australia,RTD Coffee,Off-trade Value RSP,AUD million,Current Prices,601.9,638.9,676.7,754.2,841.9,952.5,"1,065.9"
Australia,RTD Tea,Off-trade Volume,million litres,-,67.6,78.7,93.1,99.7,106.5,110.6,113.7
Australia,RTD Tea,Off-trade Value RSP,AUD million,Current Prices,318.4,424.8,535.8,572.4,609.3,683.4,735.9
Australia,Energy Drinks,Off-trade Volume,million litres,-,136.5,150.8,162.4,188.7,213.0,223.0,239.4
Australia,Energy Drinks,Off-trade Value RSP,AUD million,Current Prices,"1,001.5","1,123.9","1,228.5","1,351.7","1,497.8","1,620.3","1,775.8"
Australia,Sports Drinks,Off-trade Volume,million litres,-,137.1,145.9,151.7,144.9,144.8,147.9,150.3
Australia,Sports Drinks,Off-trade Value RSP,AUD million,Current Prices,586.5,613.9,658.7,607.9,598.8,760.9,815.3
Australia,Asian Speciality Drinks,Off-trade Volume,million litres,-,2.8,2.7,3.4,3.8,4.1,4.3,4.4
Australia,Asian Speciality Drinks,Off-trade Value RSP,AUD million,Current Prices,14.6,13.9,17.3,19.6,21.2,23.3,24.5
New Zealand,HW Soft Drinks,Retail Volume,million litres,-,312.3,321.4,329.8,345.1,344.8,353.1,361.4
New Zealand,HW Soft Drinks,Retail Value RSP,NZD million,Current Prices,804.3,831.9,856.3,896.6,897.7,932.3,972.1
New Zealand,Soft Drinks,Off-trade Volume,million litres,-,370.1,377.8,383.4,416.6,453.1,469.2,465.6
New Zealand,Soft Drinks,Off-trade Value RSP,NZD million,Current Prices,"1,038.8","1,065.5","1,088.5","1,171.7","1,279.2","1,387.9","1,438.6"
New Zealand,Bottled Water,Off-trade Volume,million litres,-,103.2,107.2,110.5,114.5,129.8,139.6,136.4
New Zealand,Bottled Water,Off-trade Value RSP,NZD million,Current Prices,168.7,177.0,184.3,190.7,212.6,228.2,228.9
New Zealand,Carbonates,Off-trade Volume,million litres,-,140.8,141.6,142.3,163.5,179.5,183.3,183.2
New Zealand,Carbonates,Off-trade Value RSP,NZD million,Current Prices,377.4,387.0,396.3,437.2,484.5,529.1,552.0
New Zealand,Regular Carbonates,Off-trade Volume,million litres,-,101.4,100.3,99.0,107.5,108.0,105.1,101.5
New Zealand,Regular Carbonates,Off-trade Value RSP,NZD million,Current Prices,247.1,247.2,246.3,268.7,275.8,278.9,281.4
New Zealand,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,39.4,41.3,43.3,56.0,71.5,78.2,81.8
New Zealand,Reduced Sugar Carbonates,Off-trade Value RSP,NZD million,Current Prices,130.3,139.9,149.9,168.4,208.7,250.2,270.7
New Zealand,Concentrates,Off-trade Volume,million litres,-,4.9,5.0,4.9,4.9,4.6,4.4,4.3
New Zealand,Concentrates,Off-trade Value RSP,NZD million,Current Prices,51.9,50.9,50.7,56.9,60.9,63.6,65.8
New Zealand,Juice,Off-trade Volume,million litres,-,78.1,79.7,80.9,86.6,86.2,85.8,84.8
New Zealand,Juice,Off-trade Value RSP,NZD million,Current Prices,196.3,197.6,199.3,213.8,215.8,227.7,234.6
New Zealand,RTD Coffee,Off-trade Volume,million litres,-,0.0,0.0,0.0,0.1,0.2,0.3,0.6
New Zealand,RTD Coffee,Off-trade Value RSP,NZD million,Current Prices,0.2,0.2,0.3,0.6,1.2,2.4,4.7
New Zealand,RTD Tea,Off-trade Volume,million litres,-,4.5,4.9,5.3,5.6,5.8,5.9,5.9
New Zealand,RTD Tea,Off-trade Value RSP,NZD million,Current Prices,27.0,31.9,34.8,37.7,39.4,42.5,44.9
New Zealand,Energy Drinks,Off-trade Volume,million litres,-,25.3,25.7,26.0,27.8,31.7,33.6,33.8
New Zealand,Energy Drinks,Off-trade Value RSP,NZD million,Current Prices,162.8,166.5,168.9,180.8,204.1,226.8,236.3
New Zealand,Sports Drinks,Off-trade Volume,million litres,-,9.8,9.7,9.7,10.3,12.2,13.4,13.4
New Zealand,Sports Drinks,Off-trade Value RSP,NZD million,Current Prices,41.1,39.6,38.4,40.9,47.5,54.1,56.7
New Zealand,Asian Speciality Drinks,Off-trade Volume,million litres,-,3.5,3.8,4.0,3.3,3.1,3.0,3.2
New Zealand,Asian Speciality Drinks,Off-trade Value RSP,NZD million,Current Prices,13.5,14.8,15.5,13.1,13.2,13.5,14.6
Argentina,HW Soft Drinks,Retail Volume,million litres,-,"2,668.7","2,598.8","2,562.3","2,562.8","2,621.0","2,740.9","2,850.8"
Argentina,HW Soft Drinks,Retail Value RSP,ARS million,Current Prices,"55,990.5","80,201.3","118,609.1","155,565.5","239,099.3","363,880.3","525,685.7"
Argentina,Soft Drinks,Off-trade Volume,million litres,-,"10,779.2","10,299.4","9,671.3","9,597.2","9,978.8","10,466.8","10,743.5"
Argentina,Soft Drinks,Off-trade Value RSP,ARS million,Current Prices,"196,212.4","269,617.9","374,919.4","487,064.2","746,774.5","1,240,809.2","2,070,710.5"
Argentina,Bottled Water,Off-trade Volume,million litres,-,"4,732.1","4,578.5","4,488.2","4,538.7","4,631.8","4,763.2","4,890.3"
Argentina,Bottled Water,Off-trade Value RSP,ARS million,Current Prices,"57,771.5","79,492.7","114,189.3","149,504.4","222,232.0","354,209.5","584,144.1"
Argentina,Carbonates,Off-trade Volume,million litres,-,"5,368.1","5,079.1","4,644.0","4,571.8","4,812.7","5,106.8","5,220.3"
Argentina,Carbonates,Off-trade Value RSP,ARS million,Current Prices,"102,673.6","140,269.5","192,440.5","251,700.8","391,528.8","648,623.9","1,080,019.0"
Argentina,Regular Carbonates,Off-trade Volume,million litres,-,"3,768.1","3,416.1","3,014.6","3,067.0","3,319.9","3,600.5","3,678.1"
Argentina,Regular Carbonates,Off-trade Value RSP,ARS million,Current Prices,"77,120.1","101,999.8","136,655.5","183,366.1","291,883.6","495,640.7","829,302.4"
Argentina,Reduced Sugar Carbonates,Off-trade Volume,million litres,-,"1,600.0","1,663.0","1,629.4","1,504.8","1,492.8","1,506.3","1,542.2"
Argentina,Reduced Sugar Carbonates,Off-trade Value RSP,ARS million,Current Prices,"25,553.5","38,269.7","55,785.1","68,334.7","99,645.2","152,983.2","250,716.5"
Argentina,Concentrates,Off-trade Volume,million litres,-,210.8,201.6,172.0,162.9,157.4,153.2,157.3
Argentina,Concentrates,Off-trade Value RSP,ARS million,Current Prices,"17,495.4","24,581.7","33,848.9","41,797.1","52,736.9","83,125.8","137,356.3"
Argentina,Juice,Off-trade Volume,million litres,-,383.2,360.0,285.0,251.6,272.2,305.7,325.0
Argentina,Juice,Off-trade Value RSP,ARS million,Current Prices,"12,557.8","17,017.7","20,654.5","24,005.8","37,773.2","66,151.3","112,722.0"
Argentina,RTD Coffee,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Argentina,RTD Coffee,Off-trade Value RSP,ARS million,Current Prices,-,-,-,-,-,-,-
Argentina,RTD Tea,Off-trade Volume,million litres,-,1.3,0.4,0.4,0.3,0.3,0.3,0.3
Argentina,RTD Tea,Off-trade Value RSP,ARS million,Current Prices,44.4,28.4,35.3,38.7,56.6,91.5,154.8
Argentina,Energy Drinks,Off-trade Volume,million litres,-,18.6,23.7,29.9,36.4,48.0,63.4,72.2
Argentina,Energy Drinks,Off-trade Value RSP,ARS million,Current Prices,"2,189.0","3,879.0","7,581.0","12,332.8","24,399.4","50,984.4","92,839.1"
Argentina,Sports Drinks,Off-trade Volume,million litres,-,65.1,56.1,51.8,35.4,56.5,74.2,78.2
Argentina,Sports Drinks,Off-trade Value RSP,ARS million,Current Prices,"3,480.8","4,349.0","6,169.8","7,684.6","18,047.5","37,622.7","63,475.0"
Argentina,Asian Speciality Drinks,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Argentina,Asian Speciality Drinks,Off-trade Value RSP,ARS million,Current Prices,-,-,-,-,-,-,-
Bolivia,HW Soft Drinks - modelled,Retail Volume,million litres,-,82.0,85.0,89.4,105.2,105.4,114.5,121.9
Bolivia,HW Soft Drinks - modelled,Retail Value RSP,BOB million,Current Prices,672.7,691.9,756.3,818.7,826.6,917.1,"1,015.9"
Bolivia,Soft Drinks,Off-trade Volume,million litres,-,"1,056.2","1,072.8","1,104.1","1,098.2","1,114.8","1,190.7","1,226.5"
Bolivia,Soft Drinks,Off-trade Value RSP,BOB million,Current Prices,"5,272.4","5,443.6","5,709.6","5,462.1","5,444.6","5,636.8","5,961.0"
Bolivia,Bottled Water,Off-trade Volume,million litres,-,140.5,155.6,170.1,164.0,169.5,182.0,196.1
Bolivia,Bottled Water,Off-trade Value RSP,BOB million,Current Prices,509.7,598.0,689.4,663.5,689.0,740.3,820.7
Bolivia,Carbonates,Off-trade Volume,million litres,-,801.0,794.9,802.8,784.1,786.5,843.6,860.4
Bolivia,Carbonates,Off-trade Value RSP,BOB million,Current Prices,"3,908.5","3,918.1","4,011.1","3,747.7","3,639.4","3,724.2","3,901.8"
Bolivia,Regular Carbonates - modelled,Off-trade Volume,million litres,-,788.8,782.2,789.5,771.8,774.6,830.0,845.6
Bolivia,Regular Carbonates - modelled,Off-trade Value RSP,BOB million,Current Prices,"3,853.6","3,861.4","3,951.4","3,693.9","3,587.0","3,663.3","3,834.1"
Bolivia,Reduced Sugar Carbonates - modelled,Off-trade Volume,million litres,-,12.2,12.7,13.3,12.3,11.9,13.5,14.8
Bolivia,Reduced Sugar Carbonates - modelled,Off-trade Value RSP,BOB million,Current Prices,54.9,56.7,59.8,53.8,52.4,60.9,67.7
Bolivia,Concentrates,Off-trade Volume,million litres,-,-,-,-,-,-,-,-
Bolivia,Concentrates,Off-trade Value RSP,BOB million,Current Prices,40.4,41.0,40.2,45.5,42.2,38.5,37.2
Bolivia,Juice,Off-trade Volume,million litres,-,100.1,106.0,113.0,130.8,135.0,139.3,142.1
