,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
United Kingdom,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,558.6,536.3,518.2,481.1,488.8,482.3,471.2
France,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,159.4,164.2,144.5,137.5,138.0,141.1,152.7
India,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,9.0,11.1,12.4,9.4,10.8,13.2,15.5
Indonesia,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,45.2,43.7,33.7,25.7,25.4,22.6,20.3
Ireland,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,52.9,54.0,55.0,55.3,56.2,56.5,56.7
Netherlands,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,52.1,47.7,47.0,50.9,52.0,52.3,56.5
Malaysia,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,14.6,14.9,15.1,16.2,15.4,17.2,18.0
South Korea,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,286.7,346.4,349.1,341.9,346.6,400.1,444.3
Mexico,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,89.5,94.5,98.0,103.8,106.8,108.6,9.0
Japan,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,213.8,210.3,204.5,187.5,190.8,227.5,233.9
Italy,Soft Drinks Packaging,Total,Stand-Up Pouches,Retail/off-trade Unit Volume,million units,62.1,60.6,59.1,58.5,57.4,56.0,55.7
Italy,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,62.1,60.6,59.1,58.5,57.4,56.0,55.7
South Korea,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,286.7,346.4,349.1,341.9,346.6,400.1,444.3
Japan,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,43.3,46.2,48.9,46.6,48.3,58.0,61.7
Netherlands,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,52.1,47.7,47.0,50.9,52.0,52.3,56.5
Malaysia,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,14.4,14.6,14.8,16.0,15.1,17.0,17.7
Ireland,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,52.9,54.0,55.0,55.3,56.2,56.5,56.7
Indonesia,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,44.5,43.0,33.2,25.7,25.4,22.6,20.3
India,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,9.0,11.1,12.4,9.4,10.8,13.2,15.5
France,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,147.1,150.6,131.6,124.5,124.2,125.5,135.3
United Kingdom,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,558.6,536.3,518.2,481.1,488.8,482.3,471.2
Canada,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,55.8,58.6,61.0,63.8,67.9,61.9,60.6
Switzerland,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,3.8,3.8,3.7,3.7,3.5,3.2,3.0
Belgium,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,16.6,16.4,16.2,16.9,16.7,16.8,17.2
Australia,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,88.6,101.0,101.4,114.0,121.3,124.8,131.6
Austria,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,3.0,2.9,2.8,2.8,2.9,2.8,2.6
Argentina,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,1.1,1.5,1.0,0.9,1.3,1.7,2.0
Colombia,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,0.6,0.5,0.5,0.5,0.5,0.7,0.7
Chile,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,180.7,192.8,196.0,201.9,249.1,327.1,377.1
China,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,673.2,643.4,636.6,558.9,543.7,525.8,518.3
Spain,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,4.5,8.2,12.9,14.9,16.1,19.0,21.0
Germany,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,527.9,506.1,490.2,504.2,471.9,448.0,442.1
Denmark,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,17.1,17.5,17.7,18.0,18.2,18.7,19.1
Portugal,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,4.9,4.7,4.4,4.5,4.1,4.0,3.9
Philippines,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,764.3,725.8,676.4,603.8,572.0,571.0,587.2
Turkey,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,50.6,52.7,55.8,54.3,53.5,95.4,118.7
Thailand,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,32.7,31.0,20.2,19.7,18.7,30.7,37.7
Singapore,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,2.6,1.9,1.6,1.4,1.3,1.5,1.5
Sweden,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,4.3,5.9,5.6,5.4,5.3,5.4,5.3
Taiwan,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,4.1,4.0,4.2,4.3,4.1,4.1,4.1
Venezuela,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.2
USA,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,"4,670.3","4,599.6","4,451.6","4,695.3","4,621.9","4,553.3","4,527.1"
United Arab Emirates,Soft Drinks Packaging,Total,Aluminium /Plastic Pouches,Retail/off-trade Unit Volume,million units,102.9,103.3,108.2,99.7,106.6,102.6,103.0
USA,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,2.3,-,-,-,-,-,-
United Arab Emirates,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,61.7,58.8,56.9,52.0,53.3,55.8,59.9
Colombia,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,898.5,872.6,808.6,697.3,784.8,917.4,950.6
Argentina,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.3,-,-,-,-,-,-
Switzerland,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.8,0.8,0.7,0.7,0.6,0.6,0.6
Canada,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.1
France,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,12.3,13.6,12.9,13.0,13.9,15.6,17.4
Indonesia,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.7,0.6,0.6,-,0.0,0.0,0.0
Malaysia,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,0.3,0.3,0.2,0.2,0.2,0.2,0.2
Mexico,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,89.5,94.5,98.0,103.8,106.8,108.6,9.0
Japan,Soft Drinks Packaging,Total,Plastic Pouches,Retail/off-trade Unit Volume,million units,170.5,164.1,155.6,140.9,142.5,169.4,172.3
Japan,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,354.2","1,354.7","1,357.8","1,292.6","1,269.3","1,319.2","1,327.1"
Mexico,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"4,816.9","4,876.6","5,037.3","4,570.6","5,254.6","5,514.1","5,719.8"
South Korea,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,223.9,219.7,204.7,204.8,213.5,232.8,244.7
Malaysia,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,57.8,56.5,57.3,57.9,55.3,57.1,57.5
Netherlands,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,376.0,361.9,340.6,324.1,315.6,299.5,295.4
New Zealand,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,68.5,71.4,74.1,82.7,94.1,101.0,104.0
Norway,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,104.5,108.1,118.0,150.1,176.2,178.0,183.3
Ireland,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,35.0,36.3,37.4,38.8,40.2,41.1,42.3
India,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"2,385.9","2,519.1","2,701.0","2,439.0","2,572.4","2,856.6","3,057.2"
Israel,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,343.0,333.1,322.2,320.2,314.0,283.7,271.4
Italy,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,649.0,646.9,636.6,569.0,608.0,716.5,765.1
France,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,573.2,645.6,652.5,614.6,601.2,627.5,651.4
United Kingdom,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,663.0,739.6,791.1,736.1,821.2,881.9,934.0
Greece,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,86.4,90.1,89.7,107.1,114.3,115.2,118.0
Indonesia,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,092.6","1,104.0","1,122.6",949.3,937.8,"1,002.1","1,047.5"
"Hong Kong, China",Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,31.1,30.7,29.6,27.1,27.0,29.6,30.9
Switzerland,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,34.7,41.4,43.8,43.3,43.9,45.1,46.5
Canada,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,855.1,859.1,861.0,859.7,857.2,865.5,884.0
Brazil,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,623.0","1,678.3","1,781.5","1,735.1","1,793.7","1,881.3","1,956.9"
Argentina,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,585.6,652.8,653.2,682.2,733.1,771.1,797.2
Austria,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,83.1,82.4,82.5,84.4,86.1,86.2,85.3
Australia,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,302.4,316.5,331.3,339.3,352.8,363.5,370.1
Belgium,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,380.4,382.6,368.6,387.1,371.9,363.1,357.1
Colombia,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"2,467.7","2,507.3","2,607.6","2,461.3","2,783.0","3,233.5","3,305.7"
Germany,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"3,973.8","3,989.8","3,753.5","3,456.7","3,411.7","3,243.9","3,493.5"
China,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,695.2","1,692.2","1,733.3","1,585.8","1,705.2","1,981.6","2,150.5"
Chile,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,758.8,700.6,764.8,791.2,923.6,920.2,942.5
Denmark,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,60.4,60.9,61.6,65.2,71.5,75.3,77.1
Spain,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,123.4","1,120.9","1,149.2","1,111.8","1,129.8","1,134.1","1,125.7"
Finland,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,64.0,74.8,79.5,89.5,100.6,110.2,120.3
Saudi Arabia,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"1,517.8","1,375.1","1,362.6","1,129.7","1,132.8","1,211.3","1,286.5"
Sweden,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,80.1,85.1,82.0,75.7,74.0,76.0,76.6
Philippines,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"6,285.8","6,087.7","6,148.5","5,468.9","5,337.5","5,429.2","5,466.9"
Portugal,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,302.1,303.2,300.2,308.1,318.1,323.3,321.4
Peru,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,78.5,76.1,74.9,64.1,70.3,76.4,78.7
Singapore,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,9.0,8.3,7.9,7.8,7.6,7.4,7.2
Thailand,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"4,934.4","4,818.5","4,943.9","4,542.0","4,282.0","4,453.7","4,735.8"
Turkey,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"2,698.4","2,791.3","2,821.5","3,688.4","4,467.7","5,363.7","6,237.1"
United Arab Emirates,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,236.2,221.6,220.1,212.5,206.9,209.9,214.0
Taiwan,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,113.6,118.0,122.4,126.0,124.8,126.2,128.7
USA,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,"3,513.9","3,649.7","3,735.4","4,002.5","4,132.9","4,316.5","4,537.9"
Venezuela,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,205.8,176.9,160.0,139.2,145.8,161.2,164.5
Vietnam,Soft Drinks Packaging,Total,Glass,Retail/off-trade Unit Volume,million units,0.4,0.4,0.5,0.5,0.5,0.5,0.6
Vietnam,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,0.4,0.4,0.5,0.5,0.5,0.5,0.6
Venezuela,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,205.8,176.9,160.0,139.2,145.8,161.2,164.5
USA,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"3,512.9","3,648.5","3,734.3","4,001.4","4,131.9","4,313.8","4,533.9"
Taiwan,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,113.5,118.0,122.3,125.9,124.7,126.2,128.6
United Arab Emirates,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,236.2,221.6,220.1,212.5,206.9,209.9,214.0
Turkey,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"2,698.4","2,791.3","2,821.5","3,688.4","4,467.7","5,363.7","6,237.1"
Thailand,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"4,932.8","4,816.9","4,942.3","4,540.3","4,280.6","4,452.4","4,734.6"
Singapore,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,9.0,8.3,7.9,7.8,7.6,7.4,7.2
Peru,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,78.5,76.1,74.9,64.1,70.3,76.4,78.7
Portugal,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,302.1,303.2,300.2,308.1,318.1,323.3,321.4
Philippines,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"6,285.8","6,087.7","6,148.5","5,468.9","5,337.5","5,429.2","5,466.9"
Sweden,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,80.1,85.1,82.0,75.7,74.0,76.0,76.6
Saudi Arabia,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,507.8","1,366.6","1,355.0","1,124.8","1,128.6","1,207.3","1,282.8"
Finland,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,64.0,74.8,79.5,89.5,100.6,110.2,120.3
Spain,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,123.4","1,120.9","1,149.2","1,111.8","1,129.8","1,134.1","1,125.7"
Denmark,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,60.4,60.9,61.6,65.2,71.5,75.3,77.1
Chile,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,758.8,700.6,764.8,791.2,923.6,920.2,942.5
China,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,695.2","1,692.2","1,733.3","1,585.8","1,705.2","1,981.6","2,150.5"
Germany,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"3,973.8","3,989.8","3,753.5","3,456.7","3,411.7","3,243.9","3,493.5"
Colombia,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"2,467.7","2,507.3","2,607.6","2,461.3","2,783.0","3,233.5","3,305.7"
Belgium,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,380.4,382.6,368.6,387.1,371.9,363.1,357.1
Australia,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,302.4,316.5,331.3,339.3,352.8,363.5,370.1
Austria,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,83.1,82.4,82.5,84.4,86.1,86.2,85.3
Argentina,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,585.6,652.8,653.2,682.2,733.1,771.1,797.2
Brazil,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,623.0","1,678.3","1,781.5","1,735.1","1,793.7","1,881.3","1,956.9"
Canada,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,855.1,859.1,861.0,859.7,857.2,865.5,884.0
Switzerland,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,34.7,41.4,43.8,43.3,43.9,45.1,46.5
"Hong Kong, China",Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,31.1,30.7,29.6,27.1,27.0,29.6,30.9
Indonesia,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,088.6","1,100.2","1,118.9",945.9,934.5,998.7,"1,044.1"
Greece,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,86.4,90.1,89.7,107.1,114.3,115.2,118.0
United Kingdom,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,663.0,739.6,791.1,736.1,821.2,881.9,934.0
France,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,573.2,645.6,652.5,614.6,601.2,627.5,651.4
Italy,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,649.0,646.9,636.6,569.0,608.0,716.5,765.1
Israel,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,343.0,333.1,322.2,320.2,314.0,283.7,271.4
India,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"2,383.8","2,517.1","2,699.1","2,437.3","2,570.7","2,854.9","3,055.4"
Ireland,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,35.0,36.3,37.4,38.8,40.2,41.1,42.3
Norway,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,104.4,108.0,117.9,150.0,176.1,177.9,183.2
New Zealand,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,68.5,71.4,74.1,82.7,94.1,101.0,104.0
Netherlands,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,376.0,361.9,340.6,324.1,315.6,299.5,295.4
Malaysia,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,57.8,56.5,57.3,57.9,55.3,57.1,57.5
South Korea,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,223.9,219.7,204.7,204.8,213.5,232.8,244.7
Mexico,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"4,816.9","4,876.6","5,037.3","4,570.6","5,254.6","5,514.1","5,719.8"
Japan,Soft Drinks Packaging,Total,Glass Bottles,Retail/off-trade Unit Volume,million units,"1,354.2","1,354.7","1,357.8","1,292.6","1,269.3","1,319.2","1,327.1"
Norway,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.1
India,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,2.1,2.0,1.9,1.7,1.7,1.7,1.8
Indonesia,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,4.1,3.8,3.7,3.4,3.4,3.4,3.4
"Hong Kong, China",Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,10.0,8.5,7.5,4.9,4.2,3.9,3.7
Thailand,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,1.6,1.6,1.6,1.7,1.5,1.3,1.2
Turkey,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,-,-,-,-,-,-,-
United Arab Emirates,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,-,-,-,-,-,-,-
Taiwan,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,0.1,0.1,0.1,0.1,0.1,0.1,0.1
USA,Soft Drinks Packaging,Total,Glass Jars,Retail/off-trade Unit Volume,million units,0.9,1.2,1.0,1.0,1.0,2.7,4.1
USA,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"2,498.8","2,454.7","2,424.9","2,509.4","2,506.9","2,489.9","2,474.0"
Venezuela,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,228.9,191.6,132.1,89.6,90.0,107.8,110.7
Taiwan,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,176.0","1,135.5","1,125.4","1,142.6","1,118.6","1,126.0","1,135.5"
United Arab Emirates,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,450.4,452.5,470.0,423.2,439.8,453.2,457.2
Vietnam,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,64.0,74.6,84.2,90.1,96.0,103.6,111.3
Turkey,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,398.0","1,268.4","1,202.5","1,167.4","1,169.9","1,103.2","1,088.5"
Thailand,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,542.1,485.0,476.4,428.4,424.4,448.9,475.0
Singapore,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,135.1,130.9,130.3,131.5,135.5,133.9,136.4
Saudi Arabia,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,811.2","1,851.4","1,838.0","1,630.4","1,551.2","1,550.6","1,539.0"
Sweden,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,312.8,324.1,309.2,297.6,292.4,290.5,289.1
Philippines,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,101.2,102.2,101.8,95.3,94.2,98.0,103.0
Portugal,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,367.3,376.4,383.6,399.3,428.1,439.3,446.4
Peru,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,470.4,463.1,454.8,414.9,437.3,487.8,523.7
"Hong Kong, China",Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,382.1,385.9,385.9,369.1,377.3,383.5,413.6
Indonesia,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"2,250.3","2,266.4","2,291.7","1,934.4","1,902.0","2,002.3","2,110.6"
Greece,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,166.6,164.3,163.1,183.7,186.9,173.7,170.3
France,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,911.3,871.3,796.2,762.0,734.3,691.0,651.6
United Kingdom,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"1,585.1","1,502.3","1,468.9","1,451.6","1,439.6","1,411.4","1,374.2"
India,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"2,887.8","3,163.5","3,503.0","3,708.4","4,096.7","4,640.2","5,104.8"
Ireland,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,59.9,61.1,62.4,63.6,64.4,64.4,65.0
Israel,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,10.8,10.7,10.8,11.2,11.4,9.9,9.6
Italy,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,953.2,892.9,840.9,800.9,767.9,761.3,755.0
Norway,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,154.5,156.3,149.8,158.7,157.7,153.0,148.6
New Zealand,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,31.8,32.6,33.2,35.5,35.5,35.3,35.3
Malaysia,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,315.4,325.1,337.6,346.0,327.7,335.1,336.9
Netherlands,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,562.2,558.3,536.6,544.2,537.5,515.8,527.6
Japan,Soft Drinks Packaging,Total,Liquid Cartons,Retail/off-trade Unit Volume,million units,"6,112.4","6,218.9","6,040.0","5,687.9","5,662.2","5,582.7","5,481.8"
