,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Pack Type | Historical/Forecast,,,,,,,,,,,,
Geography,Category,Packaging Class,Pack Type,Data Type,Unit,2017,2018,2019,2020,2021,2022,2023
Sweden,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"2,052.9","2,268.7","2,326.9","2,232.7","2,331.0","2,409.6","2,496.6"
Singapore,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,630.5,615.7,619.2,620.6,632.4,640.0,652.5
Thailand,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"15,634.4","15,734.5","16,455.2","15,140.3","14,570.1","15,275.3","16,458.7"
Turkey,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"10,488.1","11,143.4","11,640.4","12,610.1","13,989.8","15,491.8","16,836.2"
Taiwan,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"4,284.2","4,204.8","4,189.7","4,255.3","4,226.9","4,271.4","4,320.8"
United Arab Emirates,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"4,215.7","4,290.7","4,141.3","3,873.7","4,018.7","4,112.5","4,223.2"
USA,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"159,841.2","162,855.3","165,677.5","174,819.9","179,462.5","177,849.6","179,691.7"
Venezuela,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"1,350.0","1,145.9",949.9,779.8,793.6,895.2,918.8
Vietnam,Soft Drinks Packaging,Total,Total Packaging,Retail/off-trade Unit Volume,million units,"8,573.9","9,229.2","9,836.8","10,364.1","10,612.2","11,151.1","11,763.9"
Venezuela,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,12.6,10.4,5.5,3.7,3.4,3.5,3.5
USA,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,"4,723.4","4,649.7","4,501.7","4,749.9","4,678.2","4,614.0","4,593.7"
United Arab Emirates,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,107.8,108.4,113.7,105.4,112.7,108.6,109.3
Taiwan,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,4.4,4.3,4.5,4.7,4.5,4.5,4.5
Vietnam,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,3.3,3.5,3.5,3.6,3.7,3.9,4.0
Turkey,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,106.2,109.4,113.2,108.2,111.6,152.2,174.8
Thailand,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,92.7,94.6,87.1,87.8,86.2,101.9,111.3
Singapore,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,2.6,1.9,1.6,1.5,1.3,1.6,1.6
Sweden,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,4.9,6.5,6.1,5.9,5.8,5.9,5.8
Peru,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,78.2,79.7,83.2,83.1,79.4,89.2,97.7
Saudi Arabia,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,65.1,62.4,61.0,55.2,56.3,58.7,62.7
Portugal,Soft Drinks Packaging,Total,Flexible Packaging,Retail/off-trade Unit Volume,million units,14.8,13.7,13.0,14.0,14.2,13.4,12.9
